PipeSize;OutDia;150;200;250;300;350
"3""";3.96;0;0;0;0;0.25
"4""";4.8;0;0;0;0;0.25
"6""";6.9;0;0;0;0;0.25
"8""";9.05;0;0;0;0;0.25
"10""";11.1;0;0;0;0;0.26
"12""";13.2;0;0;0;0;0.28
"14""";15.3;0;0;0.28;0.3;0.31
"16""";17.4;0;0;0.3;0.32;0.34
"18""";19.5;0;0;0.31;0.34;0.36
"20""";21.6;0;0;0.33;0.36;0.38
"24""";25.8;0;0.33;0.37;0.4;0.43
"30""";32.00;0.34;0.38;0.42;0.45;0.49
"36""";38.3;0.38;0.42;0.47;0.51;0.56
"42""";44.5;0.41;0.47;0.52;0.57;0.63
"48""";50.8;0.46;0.52;0.58;0.64;0.7
"54""";57.56;0.51;0.58;0.65;0.72;0.79
"60""";61.61;0.54;0.61;0.68;0.76;0.83
"64""";65.67;0.56;0.64;0.72;0.8;0.87
