PipeSize;OutDia;50;51;52;53;54;55;56
"3""";3.96;0;0.25;0.28;0.31;0.34;0.37;0.4
"4""";4.8;0;0.26;0.29;0.32;0.35;0.38;0.41
"6""";6.9;0.25;0.28;0.31;0.34;0.37;0.4;0.43
"8""";9.05;0.27;0.3;0.33;0.36;0.39;0.42;0.45
"10""";11.1;0.29;0.32;0.35;0.38;0.41;0.44;0.47
"12""";13.2;0.31;0.34;0.37;0.4;0.43;0.46;0.49
"14""";15.3;0.33;0.36;0.39;0.42;0.45;0.48;0.51
"16""";17.4;0.34;0.37;0.4;0.43;0.46;0.49;0.52
"18""";19.5;0.35;0.38;0.41;0.44;0.47;0.5;0.53
"20""";21.6;0.36;0.39;0.42;0.45;0.48;0.051;0.54
"24""";25.8;0.38;0.41;0.44;0.47;0.5;0.53;0.56
"30""";32.0;0.39;0.43;0.48;0.51;0.55;0.59;0.63
"36""";38.3;0.43;0.47;0.53;0.58;0.63;0.68;0.73
"42""";44.5;0.47;0.53;0.59;0.65;0.71;0.77;0.83
"48""";50.8;0.51;0.58;0.65;0.72;0.79;0.86;0.93
"54""";57.56;0.57;0.65;0.73;0.81;0.89;0.97;1.05
